[INFO] 2021-03-19 12:26:11,311 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 12:26:20,494 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 12:46:23,322 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 12:46:29,613 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 12:46:32,621 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 12:46:41,460 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 12:48:33,905 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 12:48:40,422 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 12:48:43,425 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 12:48:49,998 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 12:52:09,837 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 12:52:15,598 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 12:52:18,558 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 12:52:27,972 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:02:56,956 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:03:05,474 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:03:08,595 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:03:14,340 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:06:44,585 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:06:50,294 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:06:53,297 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:07:02,416 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 13:08:35,666 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:08:39,219 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:09:20,101 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:09:22,775 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:09:25,958 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 13:10:24,949 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 13:10:32,755 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 13:10:36,955 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
